2	9999	86	1	9999	8500
39112	9.726345	-75.501357	1	5	1
39110	9.690783	-75.514968	1	353	1
39123	9.798491	-75.503088	1	5	1
39115	9.740874	-75.588896	1	6	1
391311	9.805076	-75.493345	1	6123.5	1
391312	9.805076	-75.493345	1	6123.5	1
39111	9.69244	-75.586384	1	168	1
39114	9.739711	-75.602014	1	16	1
39101	9.656803	-75.487092	1	0	1
39101	9.647366	-75.499535	1	132	1
39092	9.629899	-75.504718	1	57	1
39118	9.742365	-75.646773	1	18	1
39124	9.828139	-75.612478	1	18	1
39117	9.733559	-75.390719	1	36	1
39080	9.605532	-75.497504	1	14	1
39108	9.666429	-75.406051	1	40	1
39119	9.780075	-75.390143	1	6	1
39050	9.596946	-75.509511	1	13	1
39096	9.637746	-75.421239	1	8	1
39116	9.742322	-75.378172	1	5	1
39122	9.790293	-75.385822	1	11	1
39120	9.782121	-75.380967	1	10	1
39109	9.674947	-75.385613	1	7	1
39106	9.867756	-75.597548	1	6	1
39113	9.737822	-75.367832	1	11	1
39130	9.877654	-75.585887	1	11	1
39128	9.872472	-75.44327	1	5	1
39127	9.867408	-75.61119	1	12	1
39059	9.642549	-75.394525	1	8	1
39129	9.880031	-75.605702	1	5	1
39121	9.79262	-75.362228	1	5	1
39097	9.643691	-75.378877	1	10	1
39081	9.604751	-75.393079	1	13	1
56041	9.66568	-75.348505	1	23	1
39095	9.646629	-75.357617	1	0	1
39094	9.644375	-75.358516	1	5	1
56112	9.882683	-75.401794	1	0	1
56077	9.760362	-75.332915	1	7	1
56115	9.906832	-75.439281	1	9	1
56070	9.645618	-75.354691	1	0	1
56105	9.878758	-75.391875	1	0	1
56112	9.88849	-75.40266	1	46	1
56105	9.879648	-75.391459	1	0	1
56073	9.649804	-75.348486	1	27	1
39064	9.591917	-75.390693	1	29	1
39064	9.581872	-75.398043	1	22	1
39091	9.643387	-75.345084	1	0	1
56110	9.882548	-75.385162	1	13	1
56079	9.768367	-75.321103	1	5	1
56109	9.871297	-75.368903	1	2	1
39131	9.872073	-75.368786	1	8	1
56109	9.876472	-75.370465	1	29	1
39126	9.838627	-75.341815	1	13	1
39044	9.534936	-75.483341	1	5	1
39052	9.532508	-75.548324	1	303	1
39073	9.58373	-75.38102	1	24	1
39073	9.572367	-75.390058	1	2	1
39125	9.83997	-75.335448	1	4	1
39044	9.528409	-75.476395	1	1	1
38930	9.548331	-75.419724	1	22	1
56101	9.874883	-75.35558	1	0	1
39125	9.84207	-75.332451	1	0	1
39056	9.551276	-75.405391	1	7	1
39049	9.536938	-75.432154	1	9	1
39132	9.954649	-75.550887	1	14	1
56054	9.883156	-75.349955	1	0	1
39045	9.512306	-75.504006	1	213	1
56096	9.852331	-75.32543	1	15	1
39047	9.537272	-75.40672	1	5	1
56102	9.87597	-75.336605	1	0	1
56132	9.880366	-75.331743	1	12	1
39045	9.490059	-75.484625	1	306	1
56138	9.96437	-75.416975	1	87	1
39135	9.989605	-75.514427	1	243	1
56149	9.995642	-75.438293	1	414	1
39033	9.461499	-75.546476	1	1045	1
56154	10.02691	-75.392634	1	16	1
56170	10.107461	-75.450057	1	16	1
60161	9.400777	-75.717534	1	7	1
39009	9.391488	-75.701972	1	12	1
60192	9.392558	-75.709811	1	52	1
56176	10.125831	-75.467676	1	41	1
56177	10.122283	-75.445857	1	133	1
56139	10.144659	-75.465627	1	8	1
56180	10.139047	-75.432418	1	13	1
56175	10.122385	-75.363797	1	5	1
56183	10.153364	-75.453481	1	1	1
56139	10.155552	-75.465504	1	2	1
56186	10.158948	-75.475579	1	34	1
56183	10.156829	-75.454894	1	9	1
56179	10.136163	-75.353013	1	12	1
56188	10.174169	-75.476238	1	61	1
56195	10.153087	-75.371761	1	1127	1
56095	10.21417	-75.505592	1	4	1
56095	10.215823	-75.510778	1	0	1
54463	10.203165	-75.385965	1	8	1
56106	10.22375	-75.402596	1	4	1
56211	10.239433	-75.49947	1	2	1
56106	10.226629	-75.404204	1	0	1
56221	10.304935	-75.481896	1	0	1
56242	10.538054	-75.374199	1	1	1
9	9.73693	-75.523	1	13321	1
